연도,월,시도,최고기온,평균기온,평균습도,월강수합계,기온일교차,시도_매핑,변압기화재건수
2020,1,강원,11.1,0.31935483870967746,66.93548387096774,82.1,8.625806451612902,,0
2020,1,경기,10.6,0.25483870967741934,69.29032258064517,66.7,8.370967741935484,,0
2020,1,경남,15.9,4.32258064516129,65.0,118.8,7.77741935483871,,0
2020,1,경북,11.8,1.2774193548387098,69.2258064516129,82.1,8.170967741935485,,0
2020,1,광주,16.5,3.1516129032258067,72.51612903225806,88.2,8.625806451612902,,0
2020,1,대구,15.1,2.729032258064516,69.38709677419355,89.4,8.741935483870968,대구,1
2020,1,대전,14.4,1.1774193548387097,71.74193548387096,84.3,8.64516129032258,,0
2020,1,부산,16.8,4.529032258064516,65.51612903225806,126.4,8.1,,0
2020,1,서울,10.2,-0.15806451612903227,68.83870967741936,63.9,8.674193548387096,,0
2020,1,세종,13.2,1.4774193548387096,70.7741935483871,84.0,8.819354838709677,,0
2020,1,울산,16.1,3.629032258064516,66.58064516129032,134.3,8.919354838709678,,0
2020,1,인천,10.1,0.5354838709677419,68.51612903225806,61.6,7.564516129032258,,0
2020,1,전남,15.4,4.580645161290323,72.80645161290323,74.4,5.229032258064516,,0
2020,1,전북,15.7,2.8,72.61290322580645,85.3,8.258064516129032,,0
2020,1,제주,19.8,7.474193548387096,78.7741935483871,141.1,3.9967741935483874,,0
2020,1,충남,13.2,0.6870967741935484,72.70967741935483,79.2,8.080645161290322,,0
2020,1,충북,12.3,1.367741935483871,71.38709677419355,73.1,8.570967741935483,,0
2020,2,강원,15.6,1.2,65.48275862068965,54.7,9.558620689655172,,0
2020,2,경기,14.7,1.0620689655172415,68.89655172413794,62.5,9.062068965517241,,0
2020,2,경남,16.5,5.120689655172414,65.6896551724138,82.5,9.320689655172414,,0
2020,2,경북,14.8,2.086206896551724,65.65517241379311,51.6,9.782758620689656,,0
2020,2,광주,17.6,4.13448275862069,70.41379310344827,52.300000000000004,10.482758620689655,,0
2020,2,대구,16.9,3.737931034482759,66.03448275862068,48.2,9.931034482758621,,0
2020,2,대전,17.0,2.06551724137931,69.3103448275862,62.199999999999996,10.0,,0
2020,2,부산,15.2,5.193103448275862,66.55172413793103,109.30000000000001,9.182758620689656,,0
2020,2,서울,14.3,0.8034482758620689,68.79310344827586,60.0,9.358620689655172,서울,1
2020,2,세종,16.1,2.3241379310344827,68.82758620689656,60.6,10.1,,0
2020,2,울산,16.7,4.093103448275862,66.48275862068965,69.5,10.89655172413793,,0
2020,2,인천,14.1,1.393103448275862,68.93103448275862,61.3,7.706896551724138,,0
2020,2,전남,15.6,5.096551724137932,75.06896551724138,37.5,6.63448275862069,,0
2020,2,전북,18.7,3.6758620689655173,69.24137931034483,61.9,9.844827586206897,,0
2020,2,제주,20.4,7.806896551724138,77.03448275862068,72.5,6.003448275862069,,0
2020,2,충남,15.6,1.5413793103448274,70.27586206896552,69.4,9.382758620689655,,0
2020,2,충북,16.8,2.341379310344828,68.37931034482759,62.699999999999996,9.862068965517242,,0
2020,3,강원,20.8,5.670967741935484,63.483870967741936,26.5,12.725806451612904,,0
2020,3,경기,19.5,5.358064516129032,64.80645161290323,22.3,11.52258064516129,,0
2020,3,경남,19.8,8.803225806451612,65.51612903225806,50.6,9.612903225806452,,0
2020,3,경북,20.7,6.66774193548387,62.87096774193548,20.3,11.709677419354838,,0
2020,3,광주,21.7,7.609677419354839,66.29032258064517,42.3,11.980645161290322,,0
2020,3,대구,23.4,8.209677419354838,62.29032258064516,31.9,12.219354838709679,,0
2020,3,대전,20.0,6.558064516129033,63.41935483870968,35.0,12.029032258064515,,0
2020,3,부산,18.1,8.951612903225806,66.54838709677419,60.2,8.63225806451613,,0
2020,3,서울,19.5,5.45483870967742,63.45161290322581,17.6,11.383870967741936,,0
2020,3,세종,20.0,6.787096774193548,63.61290322580645,29.799999999999997,11.993548387096775,,0
2020,3,울산,20.6,7.919354838709677,65.41935483870968,40.2,11.3,,0
2020,3,인천,19.0,5.680645161290323,65.25806451612904,18.3,9.019354838709678,,0
2020,3,전남,18.2,8.025806451612903,70.48387096774194,32.4,7.209677419354839,,0
2020,3,전북,22.4,7.300000000000001,67.25806451612904,43.4,11.812903225806451,,0
2020,3,제주,24.0,10.293548387096775,72.87096774193549,88.3,7.096774193548387,,0
2020,3,충남,20.4,5.925806451612903,65.0,25.9,11.406451612903227,,0
2020,3,충북,21.3,6.72258064516129,64.6774193548387,32.9,12.438709677419356,,0
2020,4,강원,23.8,9.126666666666667,57.36666666666667,25.0,13.553333333333335,,0
2020,4,경기,23.1,9.206666666666667,59.766666666666666,24.3,11.363333333333333,,0
2020,4,경남,22.0,11.413333333333332,60.333333333333336,71.1,10.166666666666666,,0
2020,4,경북,25.4,10.263333333333332,50.63333333333333,25.5,12.903333333333334,,0
2020,4,광주,24.8,10.153333333333334,61.13333333333333,56.900000000000006,12.673333333333334,,0
2020,4,대구,26.4,11.776666666666667,50.3,34.4,12.933333333333334,대구,1
2020,4,대전,25.5,10.22,52.43333333333333,27.799999999999997,13.229999999999999,,0
2020,4,부산,20.2,11.28,64.36666666666666,86.00000000000001,8.83,,0
2020,4,서울,23.4,9.613333333333333,57.96666666666667,24.4,11.306666666666667,,0
2020,4,세종,25.4,10.463333333333333,53.56666666666667,23.0,13.08,,0
2020,4,울산,23.2,11.033333333333333,58.9,76.19999999999999,11.753333333333334,,0
2020,4,인천,21.5,9.453333333333335,63.5,19.4,7.95,,0
2020,4,전남,20.9,10.520000000000001,68.1,69.7,6.6433333333333335,,0
2020,4,전북,26.1,10.066666666666666,60.86666666666667,25.4,12.406666666666666,,0
2020,4,제주,22.4,11.476666666666667,68.33333333333333,107.0,6.463333333333334,,0
2020,4,충남,24.7,9.6,56.56666666666667,24.6,11.66,,0
2020,4,충북,26.0,10.6,52.1,29.3,13.393333333333334,,0
2020,5,강원,28.1,16.706451612903226,72.74193548387096,140.5,11.206451612903225,강원,1
2020,5,경기,27.6,16.287096774193547,73.35483870967742,107.5,10.374193548387098,,0
2020,5,경남,27.0,17.351612903225806,77.2258064516129,98.3,8.277419354838708,,0
2020,5,경북,29.8,17.603225806451615,63.096774193548384,83.39999999999999,11.974193548387097,,0
2020,5,광주,29.0,17.674193548387095,73.87096774193549,117.3,11.3,,0
2020,5,대구,30.3,18.783870967741933,66.90322580645162,103.1,12.029032258064515,,0
2020,5,대전,29.8,17.870967741935484,67.87096774193549,95.9,11.841935483870968,,0
2020,5,부산,25.2,17.041935483870965,79.25806451612904,96.3,6.65483870967742,,0
2020,5,서울,27.5,16.519354838709678,72.80645161290323,114.5,9.787096774193548,서울,1
2020,5,세종,29.5,18.02258064516129,67.80645161290323,105.1,11.887096774193548,,0
2020,5,울산,28.1,17.238709677419354,74.38709677419355,89.7,9.290322580645162,,0
2020,5,인천,26.4,15.654838709677419,77.96774193548387,111.7,7.67741935483871,,0
2020,5,전남,25.0,16.84193548387097,82.06451612903226,115.6,6.516129032258065,,0
2020,5,전북,29.3,18.096774193548388,72.03225806451613,102.3,11.174193548387098,,0
2020,5,제주,26.5,18.538709677419355,79.58064516129032,111.6,6.729032258064516,,0
2020,5,충남,28.5,16.94516129032258,70.87096774193549,120.6,11.129032258064516,,0
2020,5,충북,30.1,18.425806451612903,65.0,101.2,12.003225806451612,,0
2020,6,강원,34.4,22.766666666666666,70.86666666666666,128.89999999999998,10.509999999999998,,0
2020,6,경기,32.8,21.77,75.16666666666667,155.0,9.793333333333333,,0
2020,6,경남,29.0,22.316666666666666,78.66666666666667,362.0,7.08,,0
2020,6,경북,36.2,23.366666666666667,63.666666666666664,145.8,10.610000000000001,,0
2020,6,광주,33.1,22.69,78.8,269.2,9.316666666666666,,0
2020,6,대구,36.9,24.063333333333333,69.36666666666666,207.5,10.846666666666666,,0
2020,6,대전,35.0,23.096666666666668,72.33333333333333,148.2,10.256666666666666,,0
2020,6,부산,27.7,21.616666666666667,81.73333333333333,329.6,6.156666666666666,부산,1
2020,6,서울,34.2,22.216666666666665,73.63333333333334,139.8,9.153333333333334,,0
2020,6,세종,34.8,23.333333333333332,71.9,143.4,10.403333333333334,,0
2020,6,울산,32.0,22.05666666666667,76.9,283.8,9.026666666666667,,0
2020,6,인천,28.5,20.766666666666666,83.2,184.2,6.59,,0
2020,6,전남,29.4,21.506666666666668,86.13333333333334,301.3,5.383333333333334,,0
2020,6,전북,33.6,22.84,79.43333333333334,206.3,9.29,,0
2020,6,제주,29.1,22.996666666666666,84.56666666666666,222.79999999999998,5.52,,0
2020,6,충남,33.8,22.5,72.56666666666666,181.9,10.31,,0
2020,6,충북,35.5,23.84333333333333,69.43333333333334,136.8,10.5,,0
2020,7,강원,30.5,22.9,80.74193548387096,217.4,7.887096774193548,,0
2020,7,경기,30.8,22.28064516129032,84.35483870967742,351.8,6.922580645161291,,0
2020,7,경남,29.3,22.606451612903225,90.25806451612904,477.0,4.354838709677419,,0
2020,7,경북,31.4,22.070967741935487,82.09677419354838,378.5,6.541935483870967,,0
2020,7,광주,29.4,22.95483870967742,87.51612903225806,393.0,5.890322580645161,,0
2020,7,대구,31.2,22.848387096774193,87.64516129032258,416.9,6.37741935483871,,0
2020,7,대전,30.8,22.596774193548388,84.83870967741936,443.4,6.619354838709677,,0
2020,7,부산,27.5,22.24516129032258,90.2258064516129,567.5,3.6774193548387095,,0
2020,7,서울,30.5,22.648387096774194,82.6774193548387,330.5,6.716129032258064,,0
2020,7,세종,31.4,22.97741935483871,83.45161290322581,409.90000000000003,6.916129032258064,,0
2020,7,울산,31.3,22.187096774193545,88.48387096774194,538.9,5.409677419354838,,0
2020,7,인천,28.8,22.30322580645161,86.58064516129032,341.90000000000003,5.548387096774194,,0
2020,7,전남,28.3,22.706451612903226,89.80645161290323,316.9,3.5580645161290323,,0
2020,7,전북,30.3,23.219354838709677,87.03225806451613,400.1,6.2387096774193544,,0
