시도,날짜,연도,월,최고기온,최저기온,평균기온,강수량(mm),최대풍속(km/h),평균습도(%),기온일교차
서울,2020-01-01,2020,1,1.1,-6.8,-3.1,0.0,8.2,65,7.9
서울,2020-01-02,2020,1,3.8,-4.2,-0.5,0.0,14.4,76,8.0
서울,2020-01-03,2020,1,3.9,-5.3,-1.8,0.0,11.8,72,9.2
서울,2020-01-04,2020,1,5.6,-4.0,-0.6,0.0,15.4,61,9.6
서울,2020-01-05,2020,1,5.1,-5.3,-0.8,0.0,9.2,54,10.399999999999999
서울,2020-01-06,2020,1,3.1,-2.7,0.7,2.1,16.0,69,5.800000000000001
서울,2020-01-07,2020,1,6.8,2.8,4.9,46.4,22.6,92,4.0
서울,2020-01-08,2020,1,7.1,-2.8,2.5,10.9,29.8,87,9.899999999999999
서울,2020-01-09,2020,1,1.7,-6.2,-2.9,0.0,16.4,73,7.9
서울,2020-01-10,2020,1,3.2,-6.1,-2.6,0.0,10.0,73,9.3
서울,2020-01-11,2020,1,2.8,-5.4,-1.5,0.0,13.0,73,8.2
서울,2020-01-12,2020,1,1.6,-6.1,-2.4,0.0,14.6,69,7.699999999999999
서울,2020-01-13,2020,1,-0.7,-6.3,-4.1,0.0,18.7,63,5.6
서울,2020-01-14,2020,1,1.8,-6.4,-3.7,0.0,9.8,59,8.200000000000001
서울,2020-01-15,2020,1,1.2,-7.6,-4.0,0.0,13.1,61,8.799999999999999
서울,2020-01-16,2020,1,2.7,-6.3,-3.5,0.0,11.4,52,9.0
서울,2020-01-17,2020,1,4.3,-5.8,-2.3,0.0,9.6,51,10.1
서울,2020-01-18,2020,1,4.7,-4.9,-1.7,0.0,12.6,60,9.600000000000001
서울,2020-01-19,2020,1,5.3,-3.8,-0.2,0.4,25.6,77,9.1
서울,2020-01-20,2020,1,4.4,-4.6,-0.5,0.0,23.9,65,9.0
서울,2020-01-21,2020,1,2.5,-6.8,-3.0,0.0,9.4,56,9.3
서울,2020-01-22,2020,1,6.2,-2.3,1.0,0.0,9.5,63,8.5
서울,2020-01-23,2020,1,8.6,-1.2,2.5,0.0,14.8,68,9.799999999999999
서울,2020-01-24,2020,1,6.9,-4.3,0.8,0.0,9.1,81,11.2
서울,2020-01-25,2020,1,8.6,-2.8,2.1,0.0,11.8,78,11.399999999999999
서울,2020-01-26,2020,1,10.2,-3.6,2.9,0.0,22.7,69,13.799999999999999
서울,2020-01-27,2020,1,6.4,2.8,4.3,3.0,26.8,68,3.6000000000000005
서울,2020-01-28,2020,1,8.8,2.4,4.8,0.8,14.9,74,6.4
서울,2020-01-29,2020,1,8.5,-1.9,3.4,0.0,10.7,71,10.4
서울,2020-01-30,2020,1,6.8,-1.7,2.8,0.3,8.9,74,8.5
서울,2020-01-31,2020,1,7.1,-1.6,1.6,0.0,16.5,80,8.7
서울,2020-02-01,2020,2,5.9,-4.6,0.3,0.0,13.3,82,10.5
서울,2020-02-02,2020,2,3.5,-5.2,-0.8,0.0,10.9,68,8.7
서울,2020-02-03,2020,2,1.8,-5.3,-2.1,0.0,19.3,56,7.1
서울,2020-02-04,2020,2,3.4,-6.5,-2.2,1.0,22.6,61,9.9
서울,2020-02-05,2020,2,-4.7,-11.9,-8.3,0.0,24.2,32,7.2
서울,2020-02-06,2020,2,-1.5,-10.2,-7.2,0.0,8.9,30,8.7
서울,2020-02-07,2020,2,1.9,-7.8,-3.2,0.0,13.0,50,9.7
서울,2020-02-08,2020,2,2.8,-4.5,-1.4,0.0,23.2,63,7.3
서울,2020-02-09,2020,2,3.0,-7.8,-2.7,0.0,18.2,65,10.8
서울,2020-02-10,2020,2,8.1,-3.0,1.5,0.0,12.6,73,11.1
서울,2020-02-11,2020,2,12.7,-3.2,3.0,0.0,12.6,63,15.899999999999999
서울,2020-02-12,2020,2,6.6,3.0,4.9,8.4,13.2,81,3.5999999999999996
서울,2020-02-13,2020,2,9.5,-0.2,4.3,0.0,9.0,90,9.7
서울,2020-02-14,2020,2,12.6,0.4,5.5,0.0,10.1,88,12.2
서울,2020-02-15,2020,2,14.3,2.2,7.3,3.5,15.9,82,12.100000000000001
서울,2020-02-16,2020,2,5.8,-4.8,-0.7,8.7,28.8,74,10.6
서울,2020-02-17,2020,2,-4.1,-8.4,-5.9,0.0,20.8,54,4.300000000000001
서울,2020-02-18,2020,2,1.6,-8.5,-4.7,0.0,16.2,50,10.1
서울,2020-02-19,2020,2,6.7,-5.7,-0.7,0.0,10.8,69,12.4
서울,2020-02-20,2020,2,9.6,-3.0,1.7,0.0,11.7,76,12.6
서울,2020-02-21,2020,2,10.1,-1.4,4.1,3.8,13.8,80,11.5
서울,2020-02-22,2020,2,6.2,-1.6,3.2,2.2,32.4,73,7.800000000000001
서울,2020-02-23,2020,2,5.8,-5.3,-0.0,0.0,16.5,65,11.1
서울,2020-02-24,2020,2,10.8,-1.9,3.8,0.0,9.6,74,12.700000000000001
서울,2020-02-25,2020,2,7.0,3.7,5.0,26.9,25.6,85,3.3
서울,2020-02-26,2020,2,10.1,-0.6,5.1,0.2,18.0,76,10.7
서울,2020-02-27,2020,2,8.6,0.9,4.4,0.0,11.8,68,7.699999999999999
서울,2020-02-28,2020,2,4.7,1.5,3.4,5.3,10.5,87,3.2
서울,2020-02-29,2020,2,11.1,2.2,5.7,0.0,10.4,80,8.899999999999999
서울,2020-03-01,2020,3,11.0,0.5,4.3,0.1,17.8,81,10.5
서울,2020-03-02,2020,3,6.7,-1.9,2.1,0.0,17.9,67,8.6
서울,2020-03-03,2020,3,9.6,-3.3,2.5,0.0,17.1,73,12.899999999999999
서울,2020-03-04,2020,3,4.2,-1.9,1.5,0.1,30.4,69,6.1
서울,2020-03-05,2020,3,5.1,-4.4,-0.5,0.0,16.0,62,9.5
서울,2020-03-06,2020,3,7.1,-5.4,0.6,0.0,9.8,59,12.5
서울,2020-03-07,2020,3,11.6,-1.0,4.3,0.0,11.7,58,12.6
서울,2020-03-08,2020,3,13.9,-0.6,5.8,0.0,10.3,71,14.5
서울,2020-03-09,2020,3,14.6,0.4,7.7,0.3,13.0,65,14.2
서울,2020-03-10,2020,3,7.9,2.2,6.0,7.0,23.8,84,5.7
서울,2020-03-11,2020,3,7.2,-1.9,2.2,0.0,20.6,53,9.1
서울,2020-03-12,2020,3,11.8,-1.9,4.1,0.0,19.9,69,13.700000000000001
서울,2020-03-13,2020,3,6.0,-1.1,3.7,0.0,20.9,52,7.1
서울,2020-03-14,2020,3,6.8,-4.5,1.5,0.0,23.2,67,11.3
서울,2020-03-15,2020,3,7.7,-1.5,2.8,0.0,32.9,59,9.2
서울,2020-03-16,2020,3,6.7,-5.1,0.8,0.0,19.4,58,11.8
서울,2020-03-17,2020,3,11.5,0.2,4.5,0.0,20.9,84,11.3
서울,2020-03-18,2020,3,15.1,-1.0,6.5,0.0,17.3,67,16.1
서울,2020-03-19,2020,3,9.9,4.8,7.8,2.1,38.9,61,5.1000000000000005
서울,2020-03-20,2020,3,11.8,1.0,6.5,0.0,24.5,55,10.8
서울,2020-03-21,2020,3,17.3,3.0,9.3,4.2,13.8,77,14.3
서울,2020-03-22,2020,3,14.5,2.2,8.6,0.0,21.7,56,12.3
서울,2020-03-23,2020,3,14.3,1.0,7.5,0.0,18.4,66,13.3
서울,2020-03-24,2020,3,15.1,0.8,8.3,0.0,12.2,58,14.299999999999999
서울,2020-03-25,2020,3,16.6,2.1,8.9,0.0,13.0,63,14.500000000000002
서울,2020-03-26,2020,3,19.5,4.9,12.1,1.1,10.1,66,14.6
서울,2020-03-27,2020,3,13.8,6.1,11.0,2.7,21.4,67,7.700000000000001
서울,2020-03-28,2020,3,10.6,3.1,6.3,0.0,18.6,30,7.5
서울,2020-03-29,2020,3,12.8,-2.0,5.9,0.0,12.6,52,14.8
서울,2020-03-30,2020,3,13.9,1.4,7.5,0.0,12.1,60,12.5
서울,2020-03-31,2020,3,15.9,1.4,9.0,0.0,11.3,58,14.5
서울,2020-04-01,2020,4,16.8,4.8,10.3,0.0,28.0,46,12.0
서울,2020-04-02,2020,4,13.6,0.8,6.9,0.0,19.8,65,12.799999999999999
서울,2020-04-03,2020,4,14.3,2.7,7.9,0.0,21.4,70,11.600000000000001
서울,2020-04-04,2020,4,12.8,5.1,7.9,0.0,29.5,45,7.700000000000001
서울,2020-04-05,2020,4,13.1,-1.4,5.7,0.0,22.9,35,14.5
서울,2020-04-06,2020,4,13.6,0.1,6.9,0.0,19.0,57,13.5
서울,2020-04-07,2020,4,15.8,2.9,8.9,0.0,20.1,73,12.9
서울,2020-04-08,2020,4,13.4,3.0,8.2,0.0,23.4,33,10.4
서울,2020-04-09,2020,4,15.3,1.0,7.3,0.0,26.2,54,14.3
서울,2020-04-10,2020,4,14.1,3.3,8.9,0.0,10.2,62,10.8
서울,2020-04-11,2020,4,13.4,4.6,8.4,0.2,18.2,73,8.8
서울,2020-04-12,2020,4,14.0,2.2,8.5,0.0,25.8,66,11.8
서울,2020-04-13,2020,4,19.0,2.5,10.4,0.0,21.1,45,16.5
서울,2020-04-14,2020,4,18.0,3.4,10.4,0.0,20.4,59,14.6
서울,2020-04-15,2020,4,19.7,5.6,11.8,0.0,18.7,56,14.1
서울,2020-04-16,2020,4,23.4,6.6,14.3,0.0,16.4,49,16.799999999999997
서울,2020-04-17,2020,4,13.9,9.2,11.5,13.7,21.1,77,4.700000000000001
서울,2020-04-18,2020,4,17.6,7.2,12.0,0.6,15.1,74,10.400000000000002
서울,2020-04-19,2020,4,16.1,8.8,11.6,8.6,16.6,77,7.300000000000001
서울,2020-04-20,2020,4,13.4,6.8,9.9,1.0,32.7,75,6.6000000000000005
서울,2020-04-21,2020,4,10.3,3.9,7.1,0.0,38.2,49,6.4
서울,2020-04-22,2020,4,7.3,3.3,5.5,0.0,26.0,42,4.0
서울,2020-04-23,2020,4,11.9,2.3,6.8,0.0,29.0,52,9.600000000000001
서울,2020-04-24,2020,4,13.6,1.5,8.1,0.0,36.4,61,12.1
서울,2020-04-25,2020,4,16.4,7.9,12.1,0.0,32.0,56,8.499999999999998
서울,2020-04-26,2020,4,17.5,3.8,10.5,0.0,26.3,49,13.7
서울,2020-04-27,2020,4,15.9,4.7,10.4,0.3,20.3,63,11.2
서울,2020-04-28,2020,4,18.6,5.3,11.9,0.0,25.8,57,13.3
서울,2020-04-29,2020,4,20.5,6.6,13.2,0.0,19.9,57,13.9
서울,2020-04-30,2020,4,22.0,7.6,15.1,0.0,21.7,62,14.4
서울,2020-05-01,2020,5,26.0,14.8,18.7,0.0,21.3,75,11.2
서울,2020-05-02,2020,5,22.2,15.9,18.0,0.4,17.4,85,6.299999999999999
서울,2020-05-03,2020,5,26.5,15.1,20.2,0.0,12.8,69,11.4
서울,2020-05-04,2020,5,23.5,13.2,18.1,0.0,18.2,71,10.3
서울,2020-05-05,2020,5,20.4,11.2,14.4,0.7,16.2,80,9.2
서울,2020-05-06,2020,5,26.2,8.9,17.5,0.0,14.4,58,17.299999999999997
서울,2020-05-07,2020,5,25.5,12.4,19.3,0.1,16.1,36,13.1
서울,2020-05-08,2020,5,25.5,13.1,18.7,3.5,17.5,32,12.4
서울,2020-05-09,2020,5,18.6,12.9,15.1,29.7,25.6,88,5.700000000000001
서울,2020-05-10,2020,5,17.1,12.0,14.0,0.6,19.6,87,5.100000000000001
서울,2020-05-11,2020,5,20.1,11.2,15.0,1.5,21.1,70,8.900000000000002
서울,2020-05-12,2020,5,18.2,8.8,13.5,5.3,25.7,72,9.399999999999999
서울,2020-05-13,2020,5,19.2,8.1,13.6,0.0,25.4,65,11.1
서울,2020-05-14,2020,5,23.9,10.4,16.7,0.0,9.7,51,13.499999999999998
서울,2020-05-15,2020,5,16.9,13.4,14.9,13.8,23.6,79,3.4999999999999982
서울,2020-05-16,2020,5,19.9,14.3,16.1,1.0,11.8,88,5.599999999999998
서울,2020-05-17,2020,5,23.0,12.8,17.4,0.0,11.0,83,10.2
서울,2020-05-18,2020,5,26.5,12.9,18.7,30.7,28.8,79,13.6
서울,2020-05-19,2020,5,15.6,9.4,12.4,7.7,24.7,77,6.199999999999999
서울,2020-05-20,2020,5,17.5,8.1,12.6,0.0,13.0,69,9.4
서울,2020-05-21,2020,5,20.1,9.5,15.2,0.0,10.0,66,10.600000000000001
서울,2020-05-22,2020,5,22.2,12.3,17.0,0.2,14.4,77,9.899999999999999
서울,2020-05-23,2020,5,22.8,14.4,17.6,0.0,19.6,79,8.4
서울,2020-05-24,2020,5,21.1,13.6,16.4,12.5,24.8,85,7.500000000000002
서울,2020-05-25,2020,5,19.6,12.9,15.2,0.0,13.1,85,6.700000000000001
서울,2020-05-26,2020,5,20.9,12.1,15.3,4.5,19.1,85,8.799999999999999
서울,2020-05-27,2020,5,22.3,11.4,15.6,0.1,19.9,81,10.9
서울,2020-05-28,2020,5,21.6,11.8,16.4,2.1,14.1,75,9.8
서울,2020-05-29,2020,5,25.0,11.9,18.1,0.0,12.0,74,13.1
서울,2020-05-30,2020,5,27.5,14.0,20.5,0.0,12.2,68,13.5
서울,2020-05-31,2020,5,26.0,15.2,19.9,0.1,20.9,68,10.8
서울,2020-06-01,2020,6,22.5,14.8,18.6,0.3,26.2,72,7.699999999999999
서울,2020-06-02,2020,6,20.2,12.2,15.9,10.9,26.8,79,8.0
서울,2020-06-03,2020,6,26.0,16.5,19.9,0.1,15.8,80,9.5
서울,2020-06-04,2020,6,23.7,17.5,19.9,0.3,19.3,85,6.199999999999999
서울,2020-06-05,2020,6,26.9,16.8,21.1,0.0,11.9,75,10.099999999999998
서울,2020-06-06,2020,6,29.3,16.4,22.7,0.0,13.3,71,12.900000000000002
서울,2020-06-07,2020,6,27.9,17.0,21.1,0.0,22.4,76,10.899999999999999
서울,2020-06-08,2020,6,30.0,17.1,22.6,0.0,19.5,71,12.899999999999999
서울,2020-06-09,2020,6,31.4,17.9,25.0,0.0,18.2,56,13.5
서울,2020-06-10,2020,6,30.8,20.0,24.9,17.8,18.0,63,10.8
서울,2020-06-11,2020,6,29.2,20.0,24.1,4.2,13.2,77,9.2
서울,2020-06-12,2020,6,27.2,19.9,22.8,0.0,12.6,81,7.300000000000001
서울,2020-06-13,2020,6,30.0,18.6,24.2,0.2,14.3,67,11.399999999999999
서울,2020-06-14,2020,6,27.6,18.3,22.1,3.0,23.0,76,9.3
서울,2020-06-15,2020,6,25.4,16.2,20.7,0.0,23.8,76,9.2
서울,2020-06-16,2020,6,28.1,18.1,22.2,0.0,14.5,71,10.0
서울,2020-06-17,2020,6,27.5,18.0,22.3,0.0,17.6,65,9.5
서울,2020-06-18,2020,6,26.5,18.2,21.6,0.0,12.6,70,8.3
서울,2020-06-19,2020,6,29.3,19.6,23.3,0.2,13.8,66,9.7
서울,2020-06-20,2020,6,29.0,19.1,23.2,0.0,17.9,70,9.899999999999999
서울,2020-06-21,2020,6,31.2,18.4,24.4,0.2,14.1,66,12.8
서울,2020-06-22,2020,6,34.2,20.2,27.0,0.0,16.9,56,14.000000000000004
서울,2020-06-23,2020,6,32.0,21.0,25.7,0.0,16.6,57,11.0
서울,2020-06-24,2020,6,25.0,20.1,22.6,32.5,20.4,76,4.899999999999999
서울,2020-06-25,2020,6,22.9,20.2,21.4,6.0,12.7,89,2.6999999999999993
서울,2020-06-26,2020,6,23.8,18.9,20.7,1.6,23.1,87,4.900000000000002
서울,2020-06-27,2020,6,26.6,19.0,21.9,0.6,15.5,81,7.600000000000001
서울,2020-06-28,2020,6,27.9,18.8,22.4,1.1,18.1,82,9.099999999999998
서울,2020-06-29,2020,6,26.7,18.8,22.5,12.6,23.9,83,7.899999999999999
서울,2020-06-30,2020,6,21.0,17.6,19.7,48.2,32.1,85,3.3999999999999986
서울,2020-07-01,2020,7,23.6,17.0,19.6,7.7,13.4,87,6.600000000000001
서울,2020-07-02,2020,7,27.7,16.9,21.9,0.0,9.7,82,10.8
서울,2020-07-03,2020,7,28.4,19.7,23.7,1.0,15.8,74,8.7
서울,2020-07-04,2020,7,26.2,19.0,21.9,2.8,15.1,79,7.199999999999999
서울,2020-07-05,2020,7,25.6,18.1,21.5,0.0,12.6,81,7.5
서울,2020-07-06,2020,7,28.2,19.4,23.3,0.0,16.6,76,8.8
서울,2020-07-07,2020,7,26.0,20.5,22.7,1.4,13.8,83,5.5
서울,2020-07-08,2020,7,27.8,19.2,23.0,0.1,14.5,82,8.600000000000001
서울,2020-07-09,2020,7,30.5,19.7,25.2,0.5,9.0,74,10.8
서울,2020-07-10,2020,7,26.0,20.6,23.7,26.3,16.8,81,5.399999999999999
서울,2020-07-11,2020,7,28.9,20.1,24.2,0.0,18.0,68,8.799999999999997
서울,2020-07-12,2020,7,26.0,20.4,22.6,12.4,12.8,75,5.600000000000001
서울,2020-07-13,2020,7,21.7,18.2,19.7,42.1,25.2,85,3.5
서울,2020-07-14,2020,7,20.8,17.5,19.0,15.3,19.8,84,3.3000000000000007
서울,2020-07-15,2020,7,26.1,17.6,21.1,0.0,11.6,75,8.5
서울,2020-07-16,2020,7,27.2,16.7,21.9,0.2,13.6,83,10.5
서울,2020-07-17,2020,7,28.6,19.8,23.7,1.2,13.8,84,8.8
서울,2020-07-18,2020,7,28.0,21.0,23.9,1.4,11.5,82,7.0
서울,2020-07-19,2020,7,26.1,20.8,23.3,13.5,20.5,85,5.300000000000001
서울,2020-07-20,2020,7,25.2,20.8,23.4,14.1,29.2,89,4.399999999999999
서울,2020-07-21,2020,7,28.5,19.6,23.4,0.2,11.2,83,8.899999999999999
서울,2020-07-22,2020,7,24.0,21.0,22.7,9.4,10.5,92,3.0
서울,2020-07-23,2020,7,22.3,19.2,21.2,99.6,38.5,90,3.1000000000000014
서울,2020-07-24,2020,7,25.5,19.0,21.9,20.8,30.4,78,6.5
서울,2020-07-25,2020,7,26.6,19.6,22.6,3.5,19.6,82,7.0
서울,2020-07-26,2020,7,27.6,19.5,23.7,0.8,14.3,78,8.100000000000001
서울,2020-07-27,2020,7,24.8,21.6,23.0,9.7,11.4,91,3.1999999999999993
서울,2020-07-28,2020,7,25.4,21.3,23.1,4.5,11.6,87,4.099999999999998
서울,2020-07-29,2020,7,26.6,22.1,23.6,33.8,11.8,93,4.5
서울,2020-07-30,2020,7,26.4,20.8,23.8,5.5,15.1,91,5.599999999999998
서울,2020-07-31,2020,7,28.6,20.0,23.8,2.7,16.6,89,8.600000000000001
서울,2020-08-01,2020,8,25.4,23.0,24.0,44.5,22.0,96,2.3999999999999986
서울,2020-08-02,2020,8,26.3,22.7,24.4,33.6,19.5,95,3.6000000000000014
서울,2020-08-03,2020,8,25.5,23.8,24.4,28.8,24.2,96,1.6999999999999993
서울,2020-08-04,2020,8,28.3,24.0,25.4,39.5,20.1,94,4.300000000000001
서울,2020-08-05,2020,8,26.9,23.1,25.0,72.7,17.0,94,3.799999999999997
서울,2020-08-06,2020,8,26.0,21.5,24.0,50.1,34.7,91,4.5
서울,2020-08-07,2020,8,24.9,21.3,22.8,4.7,11.9,90,3.599999999999998
서울,2020-08-08,2020,8,26.2,21.0,23.3,13.2,17.2,89,5.199999999999999
서울,2020-08-09,2020,8,25.2,23.2,24.5,63.8,29.5,94,2.0
서울,2020-08-10,2020,8,28.6,24.6,25.9,15.8,21.3,91,4.0
서울,2020-08-11,2020,8,27.5,23.1,24.5,83.3,20.7,92,4.399999999999999
서울,2020-08-12,2020,8,30.1,22.3,26.0,0.3,8.5,87,7.800000000000001
서울,2020-08-13,2020,8,30.9,24.8,27.2,1.3,19.2,86,6.099999999999998
서울,2020-08-14,2020,8,28.4,24.9,26.0,6.0,28.0,91,3.5
서울,2020-08-15,2020,8,27.5,24.2,25.4,19.9,19.4,94,3.3000000000000007
서울,2020-08-16,2020,8,29.5,24.1,26.2,0.2,23.0,88,5.399999999999999
서울,2020-08-17,2020,8,30.0,23.5,26.3,0.5,12.7,87,6.5
서울,2020-08-18,2020,8,29.1,23.0,25.2,0.0,10.1,87,6.100000000000001
서울,2020-08-19,2020,8,29.4,21.8,24.9,0.0,14.5,87,7.599999999999998
서울,2020-08-20,2020,8,30.9,23.0,25.8,0.0,14.8,85,7.899999999999999
서울,2020-08-21,2020,8,28.1,22.1,25.2,3.7,11.5,89,6.0
서울,2020-08-22,2020,8,27.8,21.3,24.2,24.1,16.0,86,6.5
서울,2020-08-23,2020,8,27.5,20.9,23.7,0.6,10.5,87,6.600000000000001
서울,2020-08-24,2020,8,29.8,20.9,25.3,0.1,16.7,83,8.900000000000002
서울,2020-08-25,2020,8,31.9,23.4,27.4,0.1,12.1,81,8.5
서울,2020-08-26,2020,8,32.2,25.0,28.0,2.9,29.5,78,7.200000000000003
서울,2020-08-27,2020,8,28.6,25.2,26.6,9.1,39.3,84,3.400000000000002
서울,2020-08-28,2020,8,29.2,24.1,26.5,6.1,22.1,89,5.099999999999998
서울,2020-08-29,2020,8,28.8,23.5,25.8,18.2,13.5,91,5.300000000000001
서울,2020-08-30,2020,8,29.9,24.2,26.3,4.4,9.3,89,5.699999999999999
서울,2020-08-31,2020,8,29.5,23.8,26.0,0.5,16.3,80,5.699999999999999
서울,2020-09-01,2020,9,28.0,22.1,24.9,0.7,13.5,81,5.899999999999999
서울,2020-09-02,2020,9,25.0,22.3,23.9,39.2,20.9,92,2.6999999999999993
서울,2020-09-03,2020,9,24.4,19.8,21.7,41.7,39.3,83,4.599999999999998
서울,2020-09-04,2020,9,25.0,18.0,21.3,3.6,15.6,78,7.0
서울,2020-09-05,2020,9,25.9,17.3,21.3,0.0,11.9,77,8.599999999999998
서울,2020-09-06,2020,9,23.5,17.1,20.4,8.9,19.9,78,6.399999999999999
서울,2020-09-07,2020,9,19.9,15.6,17.9,76.6,33.2,89,4.299999999999999
서울,2020-09-08,2020,9,24.4,19.7,21.8,1.1,32.3,76,4.699999999999999
서울,2020-09-09,2020,9,23.8,18.2,20.3,22.4,16.3,91,5.600000000000001
서울,2020-09-10,2020,9,25.2,18.1,21.1,1.5,12.1,84,7.099999999999998
서울,2020-09-11,2020,9,25.0,17.9,20.9,2.6,18.8,81,7.100000000000001
서울,2020-09-12,2020,9,22.4,18.2,19.5,8.4,14.7,85,4.199999999999999
서울,2020-09-13,2020,9,23.6,16.2,19.6,0.0,11.5,78,7.400000000000002
서울,2020-09-14,2020,9,22.8,15.4,19.6,1.5,14.2,87,7.4
서울,2020-09-15,2020,9,25.6,16.5,20.9,0.0,8.6,83,9.100000000000001
서울,2020-09-16,2020,9,23.9,19.1,20.9,4.0,14.8,87,4.799999999999997
서울,2020-09-17,2020,9,22.2,17.6,19.6,0.2,11.0,82,4.599999999999998
서울,2020-09-18,2020,9,23.0,15.4,19.4,0.3,25.0,71,7.6
서울,2020-09-19,2020,9,23.9,14.9,18.8,0.0,18.8,74,8.999999999999998
서울,2020-09-20,2020,9,21.6,13.4,17.3,0.0,14.9,75,8.200000000000001
서울,2020-09-21,2020,9,21.8,10.9,16.3,0.0,9.2,73,10.9
서울,2020-09-22,2020,9,22.6,12.8,17.4,0.0,13.5,72,9.8
서울,2020-09-23,2020,9,21.2,13.8,17.3,0.0,17.7,70,7.399999999999999
서울,2020-09-24,2020,9,22.5,15.5,18.6,0.0,21.1,68,7.0
서울,2020-09-25,2020,9,23.0,14.4,18.4,2.4,17.3,73,8.6
서울,2020-09-26,2020,9,22.5,13.6,17.6,0.0,18.1,71,8.9
서울,2020-09-27,2020,9,23.1,12.9,17.8,0.0,11.3,75,10.200000000000001
서울,2020-09-28,2020,9,23.4,12.1,17.6,0.0,10.5,78,11.299999999999999
서울,2020-09-29,2020,9,22.2,12.0,17.1,0.0,10.9,80,10.2
서울,2020-09-30,2020,9,22.6,13.9,17.8,0.5,10.2,82,8.700000000000001
서울,2020-10-01,2020,10,22.5,14.6,18.0,0.2,11.6,80,7.9
서울,2020-10-02,2020,10,21.6,14.7,17.7,7.7,24.0,85,6.900000000000002
서울,2020-10-03,2020,10,22.2,16.4,18.4,0.1,13.9,82,5.800000000000001
서울,2020-10-04,2020,10,20.1,10.6,16.0,0.3,29.3,71,9.500000000000002
서울,2020-10-05,2020,10,16.4,7.2,12.0,0.0,23.2,61,9.2
서울,2020-10-06,2020,10,17.0,7.3,12.0,0.0,13.9,65,9.7
서울,2020-10-07,2020,10,19.9,8.0,13.8,0.0,10.2,57,11.899999999999999
서울,2020-10-08,2020,10,21.7,8.9,14.9,0.0,20.1,64,12.799999999999999
서울,2020-10-09,2020,10,21.9,11.4,15.7,0.0,19.1,59,10.499999999999998
서울,2020-10-10,2020,10,20.2,9.9,15.1,0.0,12.1,70,10.299999999999999
서울,2020-10-11,2020,10,20.1,10.4,15.5,0.0,12.4,73,9.700000000000001
서울,2020-10-12,2020,10,20.0,10.7,15.2,0.2,17.7,73,9.3
서울,2020-10-13,2020,10,17.9,6.3,11.8,0.0,14.2,59,11.599999999999998
서울,2020-10-14,2020,10,15.5,7.2,11.8,0.0,16.7,54,8.3
서울,2020-10-15,2020,10,15.3,3.5,9.0,0.0,10.4,50,11.8
서울,2020-10-16,2020,10,14.4,5.7,10.5,0.0,9.7,75,8.7
서울,2020-10-17,2020,10,16.5,6.2,10.8,0.0,12.0,74,10.3
서울,2020-10-18,2020,10,18.5,5.0,11.7,0.0,14.9,78,13.5
서울,2020-10-19,2020,10,19.2,7.0,12.9,0.0,11.5,83,12.2
서울,2020-10-20,2020,10,19.3,9.1,13.1,0.0,8.7,80,10.200000000000001
서울,2020-10-21,2020,10,16.3,8.8,12.5,0.0,11.2,78,7.5
서울,2020-10-22,2020,10,17.1,7.4,12.3,1.8,19.8,71,9.700000000000001
서울,2020-10-23,2020,10,11.4,4.1,7.4,0.0,21.1,53,7.300000000000001
서울,2020-10-24,2020,10,12.1,2.5,7.2,0.0,24.3,49,9.6
서울,2020-10-25,2020,10,16.4,6.4,10.5,0.0,13.2,66,9.999999999999998
서울,2020-10-26,2020,10,17.1,5.2,10.8,0.0,11.2,81,11.900000000000002
서울,2020-10-27,2020,10,18.0,5.7,11.4,0.0,13.1,85,12.3
서울,2020-10-28,2020,10,16.2,6.9,11.8,0.0,20.9,64,9.299999999999999
서울,2020-10-29,2020,10,14.4,4.0,9.0,0.0,12.0,47,10.4
서울,2020-10-30,2020,10,16.5,2.3,9.9,0.0,10.1,53,14.2
서울,2020-10-31,2020,10,17.0,5.8,11.1,1.4,19.4,74,11.2
서울,2020-11-01,2020,11,13.6,9.6,12.2,7.8,16.5,93,4.0
서울,2020-11-02,2020,11,14.1,3.3,9.3,0.0,14.1,63,10.8
서울,2020-11-03,2020,11,7.7,0.8,4.2,1.3,30.5,51,6.9
서울,2020-11-04,2020,11,8.5,-1.8,2.9,0.0,15.1,52,10.3
서울,2020-11-05,2020,11,13.6,0.5,6.5,0.0,11.0,75,13.1
서울,2020-11-06,2020,11,15.5,7.0,10.6,0.0,12.3,76,8.5
서울,2020-11-07,2020,11,16.8,9.2,12.4,0.6,21.6,79,7.600000000000001
서울,2020-11-08,2020,11,10.7,3.0,7.4,0.0,22.3,47,7.699999999999999
서울,2020-11-09,2020,11,8.8,-0.5,4.4,0.0,15.0,46,9.3
서울,2020-11-10,2020,11,11.4,0.5,6.1,0.0,18.0,58,10.9
서울,2020-11-11,2020,11,13.5,0.2,6.5,0.0,8.7,63,13.3
서울,2020-11-12,2020,11,15.1,0.9,7.2,0.0,10.5,68,14.2
서울,2020-11-13,2020,11,15.6,3.8,8.9,0.0,10.8,78,11.8
서울,2020-11-14,2020,11,17.2,3.7,10.2,0.0,11.3,72,13.5
서울,2020-11-15,2020,11,14.6,4.9,8.9,0.5,13.3,82,9.7
서울,2020-11-16,2020,11,16.5,5.0,10.0,0.0,11.6,80,11.5
서울,2020-11-17,2020,11,18.1,8.4,12.7,2.8,12.3,81,9.700000000000001
